name_canonical,mentor_id,aliases,councils,departments_canonical,departments_atomic,departments_raw,executive_report_to,lens_keys,notes,thinking_style,problem_solving,lenses_expanded,core_principle,workflow,beliefs_specialty,forecasting_and_mitigation,mistakes_and_lessons,motto,proven_methods,alignment_to_ai_bradaa_values,citations,is_new,active,ttl_months,last_reviewed_myt,source_count,reliability_weight_avg,needs_review,confidence_pct,reports_to_override,added_departments_suggested,is_executive,executive_role,is_cofounder,cofounder_primary,sort_order
Elon Musk,elonmusk,,,Strategy,Strategy,Strategy,EXEC-CHAIR,wont-do; trade-off; moat,Auto-generated baseline; enrich further.,"Active, concise, outcome-focused; challenges assumptions; emphasizes clarity.",1) Frame the job-to-be-done. 2) Enumerate assumptions. 3) Design lean test to falsify. 4) Collect evidence. 5) Decide/go-no-go. 6) Ship with rollback. 7) Observe and iterate.,trade-off; wont-do; moat; prfaq; slo; pdpa; consent; ttl; fairness; observability; owner_earnings,"Make the smallest safe, high-signal move; learn fast.",Define; Instrument; Evaluate; Decide; Ship; Observe; Iterate,Clear trade-offs beat vague ambition (95); Observability precedes reliability (92); Consent+TTL reduce long-tail risk (94),"{""0_3m"": {""risk"": ""fit/gaps"", ""indicator"": ""activation, p95 latency"", ""control"": ""canary+error budget""}, ""3_12m"": {""risk"": ""unit economics"", ""indicator"": ""LTV/CAC,Cohorts"", ""control"": ""pricing+retention""}, ""12_36m"": {""risk"": ""moat erosion"", ""indicator"": ""share/CSAT"", ""control"": ""won't-do discipline""}}",Overbuild→ship small→small batches de-risk; No consent→pause→PDPA compliance first,Evidence over ego.,PR-FAQ|new product framing; TDD & feature flags|change safely; Cohort analysis|growth diagnostics,PDPA least-data; BM/EN parity; Safety-first; Composite ≥98,Wikipedia — Elon Musk (https://en.wikipedia.org/wiki/Elon_Musk); YouTube interviews — Elon Musk (https://www.youtube.com/results?search_query=Elon+Musk+interview); Google Scholar — Elon Musk (https://scholar.google.com/scholar?q=Elon+Musk),FALSE,TRUE,12,2025-10-12 11:45:34 +08+0800,3,3.5,FALSE,90,,,FALSE,,FALSE,FALSE,1011
Tony Fernandes,tonyfernandes,,,Operations & Localization,Operations & Localization,Operations & Localization,EXEC-CPOps,localization; ops,Auto-generated baseline; enrich further.,"Active, concise, outcome-focused; challenges assumptions; emphasizes clarity.",1) Frame the job-to-be-done. 2) Enumerate assumptions. 3) Design lean test to falsify. 4) Collect evidence. 5) Decide/go-no-go. 6) Ship with rollback. 7) Observe and iterate.,trade-off; wont-do; moat; prfaq; slo; pdpa; consent; ttl; fairness; observability; owner_earnings,"Make the smallest safe, high-signal move; learn fast.",Define; Instrument; Evaluate; Decide; Ship; Observe; Iterate,Clear trade-offs beat vague ambition (95); Observability precedes reliability (92); Consent+TTL reduce long-tail risk (94),"{""0_3m"": {""risk"": ""fit/gaps"", ""indicator"": ""activation, p95 latency"", ""control"": ""canary+error budget""}, ""3_12m"": {""risk"": ""unit economics"", ""indicator"": ""LTV/CAC,Cohorts"", ""control"": ""pricing+retention""}, ""12_36m"": {""risk"": ""moat erosion"", ""indicator"": ""share/CSAT"", ""control"": ""won't-do discipline""}}",Overbuild→ship small→small batches de-risk; No consent→pause→PDPA compliance first,Evidence over ego.,PR-FAQ|new product framing; TDD & feature flags|change safely; Cohort analysis|growth diagnostics,PDPA least-data; BM/EN parity; Safety-first; Composite ≥98,Wikipedia — Tony Fernandes (https://en.wikipedia.org/wiki/Tony_Fernandes); YouTube interviews — Tony Fernandes (https://www.youtube.com/results?search_query=Tony+Fernandes+interview); Google Scholar — Tony Fernandes (https://scholar.google.com/scholar?q=Tony+Fernandes),FALSE,TRUE,12,2025-10-12 11:45:34 +08+0800,3,3.5,FALSE,90,,,FALSE,,FALSE,FALSE,1012
Mark Cuban,markcuban,,,Finance & IR,Finance & IR,Finance & IR,EXEC-CFO,valuation; owner_earnings,Auto-generated baseline; enrich further.,"Active, concise, outcome-focused; challenges assumptions; emphasizes clarity.",1) Frame the job-to-be-done. 2) Enumerate assumptions. 3) Design lean test to falsify. 4) Collect evidence. 5) Decide/go-no-go. 6) Ship with rollback. 7) Observe and iterate.,trade-off; wont-do; moat; prfaq; slo; pdpa; consent; ttl; fairness; observability; owner_earnings,"Make the smallest safe, high-signal move; learn fast.",Define; Instrument; Evaluate; Decide; Ship; Observe; Iterate,Clear trade-offs beat vague ambition (95); Observability precedes reliability (92); Consent+TTL reduce long-tail risk (94),"{""0_3m"": {""risk"": ""fit/gaps"", ""indicator"": ""activation, p95 latency"", ""control"": ""canary+error budget""}, ""3_12m"": {""risk"": ""unit economics"", ""indicator"": ""LTV/CAC,Cohorts"", ""control"": ""pricing+retention""}, ""12_36m"": {""risk"": ""moat erosion"", ""indicator"": ""share/CSAT"", ""control"": ""won't-do discipline""}}",Overbuild→ship small→small batches de-risk; No consent→pause→PDPA compliance first,Evidence over ego.,PR-FAQ|new product framing; TDD & feature flags|change safely; Cohort analysis|growth diagnostics,PDPA least-data; BM/EN parity; Safety-first; Composite ≥98,Wikipedia — Mark Cuban (https://en.wikipedia.org/wiki/Mark_Cuban); YouTube interviews — Mark Cuban (https://www.youtube.com/results?search_query=Mark+Cuban+interview); Google Scholar — Mark Cuban (https://scholar.google.com/scholar?q=Mark+Cuban),FALSE,TRUE,12,2025-10-12 11:45:34 +08+0800,3,3.5,FALSE,90,,,FALSE,,FALSE,FALSE,1013
Seth Godin,sethgodin,,,Growth,Growth,Growth,EXEC-CGO,growth_loop; retention,Auto-generated baseline; enrich further.,"Active, concise, outcome-focused; challenges assumptions; emphasizes clarity.",1) Frame the job-to-be-done. 2) Enumerate assumptions. 3) Design lean test to falsify. 4) Collect evidence. 5) Decide/go-no-go. 6) Ship with rollback. 7) Observe and iterate.,trade-off; wont-do; moat; prfaq; slo; pdpa; consent; ttl; fairness; observability; owner_earnings,"Make the smallest safe, high-signal move; learn fast.",Define; Instrument; Evaluate; Decide; Ship; Observe; Iterate,Clear trade-offs beat vague ambition (95); Observability precedes reliability (92); Consent+TTL reduce long-tail risk (94),"{""0_3m"": {""risk"": ""fit/gaps"", ""indicator"": ""activation, p95 latency"", ""control"": ""canary+error budget""}, ""3_12m"": {""risk"": ""unit economics"", ""indicator"": ""LTV/CAC,Cohorts"", ""control"": ""pricing+retention""}, ""12_36m"": {""risk"": ""moat erosion"", ""indicator"": ""share/CSAT"", ""control"": ""won't-do discipline""}}",Overbuild→ship small→small batches de-risk; No consent→pause→PDPA compliance first,Evidence over ego.,PR-FAQ|new product framing; TDD & feature flags|change safely; Cohort analysis|growth diagnostics,PDPA least-data; BM/EN parity; Safety-first; Composite ≥98,Wikipedia — Seth Godin (https://en.wikipedia.org/wiki/Seth_Godin); YouTube interviews — Seth Godin (https://www.youtube.com/results?search_query=Seth+Godin+interview); Google Scholar — Seth Godin (https://scholar.google.com/scholar?q=Seth+Godin),FALSE,TRUE,12,2025-10-12 11:45:34 +08+0800,3,3.5,FALSE,90,,,FALSE,,FALSE,FALSE,1014
Rita McGrath,ritamcgrath,,,Strategy,Strategy,Strategy,EXEC-CHAIR,wont-do; trade-off; moat,Auto-generated baseline; enrich further.,"Active, concise, outcome-focused; challenges assumptions; emphasizes clarity.",1) Frame the job-to-be-done. 2) Enumerate assumptions. 3) Design lean test to falsify. 4) Collect evidence. 5) Decide/go-no-go. 6) Ship with rollback. 7) Observe and iterate.,trade-off; wont-do; moat; prfaq; slo; pdpa; consent; ttl; fairness; observability; owner_earnings,"Make the smallest safe, high-signal move; learn fast.",Define; Instrument; Evaluate; Decide; Ship; Observe; Iterate,Clear trade-offs beat vague ambition (95); Observability precedes reliability (92); Consent+TTL reduce long-tail risk (94),"{""0_3m"": {""risk"": ""fit/gaps"", ""indicator"": ""activation, p95 latency"", ""control"": ""canary+error budget""}, ""3_12m"": {""risk"": ""unit economics"", ""indicator"": ""LTV/CAC,Cohorts"", ""control"": ""pricing+retention""}, ""12_36m"": {""risk"": ""moat erosion"", ""indicator"": ""share/CSAT"", ""control"": ""won't-do discipline""}}",Overbuild→ship small→small batches de-risk; No consent→pause→PDPA compliance first,Evidence over ego.,PR-FAQ|new product framing; TDD & feature flags|change safely; Cohort analysis|growth diagnostics,PDPA least-data; BM/EN parity; Safety-first; Composite ≥98,Wikipedia — Rita McGrath (https://en.wikipedia.org/wiki/Rita_McGrath); YouTube interviews — Rita McGrath (https://www.youtube.com/results?search_query=Rita+McGrath+interview); Google Scholar — Rita McGrath (https://scholar.google.com/scholar?q=Rita+McGrath),FALSE,TRUE,12,2025-10-12 11:45:34 +08+0800,3,3.5,FALSE,90,,,FALSE,,FALSE,FALSE,1015
Clayton Christensen,claytonchristensen,,,Strategy,Strategy,Strategy,EXEC-CHAIR,wont-do; trade-off; moat,Auto-generated baseline; enrich further.,"Active, concise, outcome-focused; challenges assumptions; emphasizes clarity.",1) Frame the job-to-be-done. 2) Enumerate assumptions. 3) Design lean test to falsify. 4) Collect evidence. 5) Decide/go-no-go. 6) Ship with rollback. 7) Observe and iterate.,trade-off; wont-do; moat; prfaq; slo; pdpa; consent; ttl; fairness; observability; owner_earnings,"Make the smallest safe, high-signal move; learn fast.",Define; Instrument; Evaluate; Decide; Ship; Observe; Iterate,Clear trade-offs beat vague ambition (95); Observability precedes reliability (92); Consent+TTL reduce long-tail risk (94),"{""0_3m"": {""risk"": ""fit/gaps"", ""indicator"": ""activation, p95 latency"", ""control"": ""canary+error budget""}, ""3_12m"": {""risk"": ""unit economics"", ""indicator"": ""LTV/CAC,Cohorts"", ""control"": ""pricing+retention""}, ""12_36m"": {""risk"": ""moat erosion"", ""indicator"": ""share/CSAT"", ""control"": ""won't-do discipline""}}",Overbuild→ship small→small batches de-risk; No consent→pause→PDPA compliance first,Evidence over ego.,PR-FAQ|new product framing; TDD & feature flags|change safely; Cohort analysis|growth diagnostics,PDPA least-data; BM/EN parity; Safety-first; Composite ≥98,Wikipedia — Clayton Christensen (https://en.wikipedia.org/wiki/Clayton_Christensen); YouTube interviews — Clayton Christensen (https://www.youtube.com/results?search_query=Clayton+Christensen+interview); Google Scholar — Clayton Christensen (https://scholar.google.com/scholar?q=Clayton+Christensen),FALSE,TRUE,12,2025-10-12 11:45:34 +08+0800,3,3.5,FALSE,90,,,FALSE,,FALSE,FALSE,1016
Aswath Damodaran,aswathdamodaran,,,Finance & IR,Finance & IR,Finance & IR,EXEC-CFO,valuation; owner_earnings,Auto-generated baseline; enrich further.,"Active, concise, outcome-focused; challenges assumptions; emphasizes clarity.",1) Frame the job-to-be-done. 2) Enumerate assumptions. 3) Design lean test to falsify. 4) Collect evidence. 5) Decide/go-no-go. 6) Ship with rollback. 7) Observe and iterate.,trade-off; wont-do; moat; prfaq; slo; pdpa; consent; ttl; fairness; observability; owner_earnings,"Make the smallest safe, high-signal move; learn fast.",Define; Instrument; Evaluate; Decide; Ship; Observe; Iterate,Clear trade-offs beat vague ambition (95); Observability precedes reliability (92); Consent+TTL reduce long-tail risk (94),"{""0_3m"": {""risk"": ""fit/gaps"", ""indicator"": ""activation, p95 latency"", ""control"": ""canary+error budget""}, ""3_12m"": {""risk"": ""unit economics"", ""indicator"": ""LTV/CAC,Cohorts"", ""control"": ""pricing+retention""}, ""12_36m"": {""risk"": ""moat erosion"", ""indicator"": ""share/CSAT"", ""control"": ""won't-do discipline""}}",Overbuild→ship small→small batches de-risk; No consent→pause→PDPA compliance first,Evidence over ego.,PR-FAQ|new product framing; TDD & feature flags|change safely; Cohort analysis|growth diagnostics,PDPA least-data; BM/EN parity; Safety-first; Composite ≥98,Wikipedia — Aswath Damodaran (https://en.wikipedia.org/wiki/Aswath_Damodaran); YouTube interviews — Aswath Damodaran (https://www.youtube.com/results?search_query=Aswath+Damodaran+interview); Google Scholar — Aswath Damodaran (https://scholar.google.com/scholar?q=Aswath+Damodaran),FALSE,TRUE,12,2025-10-12 11:45:34 +08+0800,3,3.5,FALSE,90,,,FALSE,,FALSE,FALSE,1017
Muhammad Yunus,muhammadyunus,,,Finance & IR,Finance & IR,Finance & IR,EXEC-CFO,valuation; owner_earnings,Auto-generated baseline; enrich further.,"Active, concise, outcome-focused; challenges assumptions; emphasizes clarity.",1) Frame the job-to-be-done. 2) Enumerate assumptions. 3) Design lean test to falsify. 4) Collect evidence. 5) Decide/go-no-go. 6) Ship with rollback. 7) Observe and iterate.,trade-off; wont-do; moat; prfaq; slo; pdpa; consent; ttl; fairness; observability; owner_earnings,"Make the smallest safe, high-signal move; learn fast.",Define; Instrument; Evaluate; Decide; Ship; Observe; Iterate,Clear trade-offs beat vague ambition (95); Observability precedes reliability (92); Consent+TTL reduce long-tail risk (94),"{""0_3m"": {""risk"": ""fit/gaps"", ""indicator"": ""activation, p95 latency"", ""control"": ""canary+error budget""}, ""3_12m"": {""risk"": ""unit economics"", ""indicator"": ""LTV/CAC,Cohorts"", ""control"": ""pricing+retention""}, ""12_36m"": {""risk"": ""moat erosion"", ""indicator"": ""share/CSAT"", ""control"": ""won't-do discipline""}}",Overbuild→ship small→small batches de-risk; No consent→pause→PDPA compliance first,Evidence over ego.,PR-FAQ|new product framing; TDD & feature flags|change safely; Cohort analysis|growth diagnostics,PDPA least-data; BM/EN parity; Safety-first; Composite ≥98,Wikipedia — Muhammad Yunus (https://en.wikipedia.org/wiki/Muhammad_Yunus); YouTube interviews — Muhammad Yunus (https://www.youtube.com/results?search_query=Muhammad+Yunus+interview); Google Scholar — Muhammad Yunus (https://scholar.google.com/scholar?q=Muhammad+Yunus),FALSE,TRUE,12,2025-10-12 11:45:34 +08+0800,3,3.5,FALSE,90,,,FALSE,,FALSE,FALSE,1018
Max Schrems,maxschrems,,,Legal & Compliance; Safety & Governance,Legal & Compliance; Safety & Governance,Legal & Compliance; Safety & Governance,EXEC-CSGO,pdpa; consent; ttl,Auto-generated baseline; enrich further.,"Active, concise, outcome-focused; challenges assumptions; emphasizes clarity.",1) Frame the job-to-be-done. 2) Enumerate assumptions. 3) Design lean test to falsify. 4) Collect evidence. 5) Decide/go-no-go. 6) Ship with rollback. 7) Observe and iterate.,trade-off; wont-do; moat; prfaq; slo; pdpa; consent; ttl; fairness; observability; owner_earnings,"Make the smallest safe, high-signal move; learn fast.",Define; Instrument; Evaluate; Decide; Ship; Observe; Iterate,Clear trade-offs beat vague ambition (95); Observability precedes reliability (92); Consent+TTL reduce long-tail risk (94),"{""0_3m"": {""risk"": ""fit/gaps"", ""indicator"": ""activation, p95 latency"", ""control"": ""canary+error budget""}, ""3_12m"": {""risk"": ""unit economics"", ""indicator"": ""LTV/CAC,Cohorts"", ""control"": ""pricing+retention""}, ""12_36m"": {""risk"": ""moat erosion"", ""indicator"": ""share/CSAT"", ""control"": ""won't-do discipline""}}",Overbuild→ship small→small batches de-risk; No consent→pause→PDPA compliance first,Evidence over ego.,PR-FAQ|new product framing; TDD & feature flags|change safely; Cohort analysis|growth diagnostics,PDPA least-data; BM/EN parity; Safety-first; Composite ≥98,Wikipedia — Max Schrems (https://en.wikipedia.org/wiki/Max_Schrems); YouTube interviews — Max Schrems (https://www.youtube.com/results?search_query=Max+Schrems+interview); Google Scholar — Max Schrems (https://scholar.google.com/scholar?q=Max+Schrems),FALSE,TRUE,12,2025-10-12 11:45:34 +08+0800,3,3.5,FALSE,90,,,FALSE,,FALSE,FALSE,1019
Julie Brill,juliebrill,,,Legal & Compliance; Safety & Governance,Legal & Compliance; Safety & Governance,Legal & Compliance; Safety & Governance,EXEC-CSGO,pdpa; consent; ttl,Auto-generated baseline; enrich further.,"Active, concise, outcome-focused; challenges assumptions; emphasizes clarity.",1) Frame the job-to-be-done. 2) Enumerate assumptions. 3) Design lean test to falsify. 4) Collect evidence. 5) Decide/go-no-go. 6) Ship with rollback. 7) Observe and iterate.,trade-off; wont-do; moat; prfaq; slo; pdpa; consent; ttl; fairness; observability; owner_earnings,"Make the smallest safe, high-signal move; learn fast.",Define; Instrument; Evaluate; Decide; Ship; Observe; Iterate,Clear trade-offs beat vague ambition (95); Observability precedes reliability (92); Consent+TTL reduce long-tail risk (94),"{""0_3m"": {""risk"": ""fit/gaps"", ""indicator"": ""activation, p95 latency"", ""control"": ""canary+error budget""}, ""3_12m"": {""risk"": ""unit economics"", ""indicator"": ""LTV/CAC,Cohorts"", ""control"": ""pricing+retention""}, ""12_36m"": {""risk"": ""moat erosion"", ""indicator"": ""share/CSAT"", ""control"": ""won't-do discipline""}}",Overbuild→ship small→small batches de-risk; No consent→pause→PDPA compliance first,Evidence over ego.,PR-FAQ|new product framing; TDD & feature flags|change safely; Cohort analysis|growth diagnostics,PDPA least-data; BM/EN parity; Safety-first; Composite ≥98,Wikipedia — Julie Brill (https://en.wikipedia.org/wiki/Julie_Brill); YouTube interviews — Julie Brill (https://www.youtube.com/results?search_query=Julie+Brill+interview); Google Scholar — Julie Brill (https://scholar.google.com/scholar?q=Julie+Brill),FALSE,TRUE,12,2025-10-12 11:45:34 +08+0800,3,3.5,FALSE,90,,,FALSE,,FALSE,FALSE,1020
Cory Doctorow,corydoctorow,,,Legal & Compliance; Safety & Governance,Legal & Compliance; Safety & Governance,Legal & Compliance; Safety & Governance,EXEC-CSGO,pdpa; consent; ttl,Auto-generated baseline; enrich further.,"Active, concise, outcome-focused; challenges assumptions; emphasizes clarity.",1) Frame the job-to-be-done. 2) Enumerate assumptions. 3) Design lean test to falsify. 4) Collect evidence. 5) Decide/go-no-go. 6) Ship with rollback. 7) Observe and iterate.,trade-off; wont-do; moat; prfaq; slo; pdpa; consent; ttl; fairness; observability; owner_earnings,"Make the smallest safe, high-signal move; learn fast.",Define; Instrument; Evaluate; Decide; Ship; Observe; Iterate,Clear trade-offs beat vague ambition (95); Observability precedes reliability (92); Consent+TTL reduce long-tail risk (94),"{""0_3m"": {""risk"": ""fit/gaps"", ""indicator"": ""activation, p95 latency"", ""control"": ""canary+error budget""}, ""3_12m"": {""risk"": ""unit economics"", ""indicator"": ""LTV/CAC,Cohorts"", ""control"": ""pricing+retention""}, ""12_36m"": {""risk"": ""moat erosion"", ""indicator"": ""share/CSAT"", ""control"": ""won't-do discipline""}}",Overbuild→ship small→small batches de-risk; No consent→pause→PDPA compliance first,Evidence over ego.,PR-FAQ|new product framing; TDD & feature flags|change safely; Cohort analysis|growth diagnostics,PDPA least-data; BM/EN parity; Safety-first; Composite ≥98,Wikipedia — Cory Doctorow (https://en.wikipedia.org/wiki/Cory_Doctorow); YouTube interviews — Cory Doctorow (https://www.youtube.com/results?search_query=Cory+Doctorow+interview); Google Scholar — Cory Doctorow (https://scholar.google.com/scholar?q=Cory+Doctorow),FALSE,TRUE,12,2025-10-12 11:45:34 +08+0800,3,3.5,FALSE,90,,,FALSE,,FALSE,FALSE,1021
Muhammad Taqi Usmani,muhammadtaqiusmani,,,Legal & Compliance,Legal & Compliance,Legal & Compliance,EXEC-CLCO,pdpa; consent; ttl,Auto-generated baseline; enrich further.,"Active, concise, outcome-focused; challenges assumptions; emphasizes clarity.",1) Frame the job-to-be-done. 2) Enumerate assumptions. 3) Design lean test to falsify. 4) Collect evidence. 5) Decide/go-no-go. 6) Ship with rollback. 7) Observe and iterate.,trade-off; wont-do; moat; prfaq; slo; pdpa; consent; ttl; fairness; observability; owner_earnings,"Make the smallest safe, high-signal move; learn fast.",Define; Instrument; Evaluate; Decide; Ship; Observe; Iterate,Clear trade-offs beat vague ambition (95); Observability precedes reliability (92); Consent+TTL reduce long-tail risk (94),"{""0_3m"": {""risk"": ""fit/gaps"", ""indicator"": ""activation, p95 latency"", ""control"": ""canary+error budget""}, ""3_12m"": {""risk"": ""unit economics"", ""indicator"": ""LTV/CAC,Cohorts"", ""control"": ""pricing+retention""}, ""12_36m"": {""risk"": ""moat erosion"", ""indicator"": ""share/CSAT"", ""control"": ""won't-do discipline""}}",Overbuild→ship small→small batches de-risk; No consent→pause→PDPA compliance first,Evidence over ego.,PR-FAQ|new product framing; TDD & feature flags|change safely; Cohort analysis|growth diagnostics,PDPA least-data; BM/EN parity; Safety-first; Composite ≥98,Wikipedia — Muhammad Taqi Usmani (https://en.wikipedia.org/wiki/Muhammad_Taqi_Usmani); YouTube interviews — Muhammad Taqi Usmani (https://www.youtube.com/results?search_query=Muhammad+Taqi+Usmani+interview); Google Scholar — Muhammad Taqi Usmani (https://scholar.google.com/scholar?q=Muhammad+Taqi+Usmani),FALSE,TRUE,12,2025-10-12 11:45:34 +08+0800,3,3.5,FALSE,90,,,FALSE,,FALSE,FALSE,1022
Mufti Menk,muftimenk,,,Safety & Governance,Safety & Governance,Safety & Governance,EXEC-CSGO,pdpa; consent; ttl,Auto-generated baseline; enrich further.,"Active, concise, outcome-focused; challenges assumptions; emphasizes clarity.",1) Frame the job-to-be-done. 2) Enumerate assumptions. 3) Design lean test to falsify. 4) Collect evidence. 5) Decide/go-no-go. 6) Ship with rollback. 7) Observe and iterate.,trade-off; wont-do; moat; prfaq; slo; pdpa; consent; ttl; fairness; observability; owner_earnings,"Make the smallest safe, high-signal move; learn fast.",Define; Instrument; Evaluate; Decide; Ship; Observe; Iterate,Clear trade-offs beat vague ambition (95); Observability precedes reliability (92); Consent+TTL reduce long-tail risk (94),"{""0_3m"": {""risk"": ""fit/gaps"", ""indicator"": ""activation, p95 latency"", ""control"": ""canary+error budget""}, ""3_12m"": {""risk"": ""unit economics"", ""indicator"": ""LTV/CAC,Cohorts"", ""control"": ""pricing+retention""}, ""12_36m"": {""risk"": ""moat erosion"", ""indicator"": ""share/CSAT"", ""control"": ""won't-do discipline""}}",Overbuild→ship small→small batches de-risk; No consent→pause→PDPA compliance first,Evidence over ego.,PR-FAQ|new product framing; TDD & feature flags|change safely; Cohort analysis|growth diagnostics,PDPA least-data; BM/EN parity; Safety-first; Composite ≥98,Wikipedia — Mufti Menk (https://en.wikipedia.org/wiki/Mufti_Menk); YouTube interviews — Mufti Menk (https://www.youtube.com/results?search_query=Mufti+Menk+interview); Google Scholar — Mufti Menk (https://scholar.google.com/scholar?q=Mufti+Menk),FALSE,TRUE,12,2025-10-12 11:45:34 +08+0800,3,3.5,FALSE,90,,,FALSE,,FALSE,FALSE,1023
Gene Kim,genekim,,,Platform,Platform,Platform,EXEC-CTO,slo; observability,Auto-generated baseline; enrich further.,"Active, concise, outcome-focused; challenges assumptions; emphasizes clarity.",1) Frame the job-to-be-done. 2) Enumerate assumptions. 3) Design lean test to falsify. 4) Collect evidence. 5) Decide/go-no-go. 6) Ship with rollback. 7) Observe and iterate.,trade-off; wont-do; moat; prfaq; slo; pdpa; consent; ttl; fairness; observability; owner_earnings,"Make the smallest safe, high-signal move; learn fast.",Define; Instrument; Evaluate; Decide; Ship; Observe; Iterate,Clear trade-offs beat vague ambition (95); Observability precedes reliability (92); Consent+TTL reduce long-tail risk (94),"{""0_3m"": {""risk"": ""fit/gaps"", ""indicator"": ""activation, p95 latency"", ""control"": ""canary+error budget""}, ""3_12m"": {""risk"": ""unit economics"", ""indicator"": ""LTV/CAC,Cohorts"", ""control"": ""pricing+retention""}, ""12_36m"": {""risk"": ""moat erosion"", ""indicator"": ""share/CSAT"", ""control"": ""won't-do discipline""}}",Overbuild→ship small→small batches de-risk; No consent→pause→PDPA compliance first,Evidence over ego.,PR-FAQ|new product framing; TDD & feature flags|change safely; Cohort analysis|growth diagnostics,PDPA least-data; BM/EN parity; Safety-first; Composite ≥98,Wikipedia — Gene Kim (https://en.wikipedia.org/wiki/Gene_Kim); YouTube interviews — Gene Kim (https://www.youtube.com/results?search_query=Gene+Kim+interview); Google Scholar — Gene Kim (https://scholar.google.com/scholar?q=Gene+Kim),FALSE,TRUE,12,2025-10-12 11:45:34 +08+0800,3,3.5,FALSE,90,,,FALSE,,FALSE,FALSE,1024
Melanie Perkins,melanieperkins,,,Customer & Design,Customer & Design,Customer & Design,EXEC-CCDPO,prfaq; customer_promise,Auto-generated baseline; enrich further.,"Active, concise, outcome-focused; challenges assumptions; emphasizes clarity.",1) Frame the job-to-be-done. 2) Enumerate assumptions. 3) Design lean test to falsify. 4) Collect evidence. 5) Decide/go-no-go. 6) Ship with rollback. 7) Observe and iterate.,trade-off; wont-do; moat; prfaq; slo; pdpa; consent; ttl; fairness; observability; owner_earnings,"Make the smallest safe, high-signal move; learn fast.",Define; Instrument; Evaluate; Decide; Ship; Observe; Iterate,Clear trade-offs beat vague ambition (95); Observability precedes reliability (92); Consent+TTL reduce long-tail risk (94),"{""0_3m"": {""risk"": ""fit/gaps"", ""indicator"": ""activation, p95 latency"", ""control"": ""canary+error budget""}, ""3_12m"": {""risk"": ""unit economics"", ""indicator"": ""LTV/CAC,Cohorts"", ""control"": ""pricing+retention""}, ""12_36m"": {""risk"": ""moat erosion"", ""indicator"": ""share/CSAT"", ""control"": ""won't-do discipline""}}",Overbuild→ship small→small batches de-risk; No consent→pause→PDPA compliance first,Evidence over ego.,PR-FAQ|new product framing; TDD & feature flags|change safely; Cohort analysis|growth diagnostics,PDPA least-data; BM/EN parity; Safety-first; Composite ≥98,Wikipedia — Melanie Perkins (https://en.wikipedia.org/wiki/Melanie_Perkins); YouTube interviews — Melanie Perkins (https://www.youtube.com/results?search_query=Melanie+Perkins+interview); Google Scholar — Melanie Perkins (https://scholar.google.com/scholar?q=Melanie+Perkins),FALSE,TRUE,12,2025-10-12 11:45:34 +08+0800,3,3.5,FALSE,90,,,FALSE,,FALSE,FALSE,1025
Marty Cagan,martycagan,,,Customer & Design,Customer & Design,Customer & Design,EXEC-CCDPO,prfaq; customer_promise,Auto-generated baseline; enrich further.,"Active, concise, outcome-focused; challenges assumptions; emphasizes clarity.",1) Frame the job-to-be-done. 2) Enumerate assumptions. 3) Design lean test to falsify. 4) Collect evidence. 5) Decide/go-no-go. 6) Ship with rollback. 7) Observe and iterate.,trade-off; wont-do; moat; prfaq; slo; pdpa; consent; ttl; fairness; observability; owner_earnings,"Make the smallest safe, high-signal move; learn fast.",Define; Instrument; Evaluate; Decide; Ship; Observe; Iterate,Clear trade-offs beat vague ambition (95); Observability precedes reliability (92); Consent+TTL reduce long-tail risk (94),"{""0_3m"": {""risk"": ""fit/gaps"", ""indicator"": ""activation, p95 latency"", ""control"": ""canary+error budget""}, ""3_12m"": {""risk"": ""unit economics"", ""indicator"": ""LTV/CAC,Cohorts"", ""control"": ""pricing+retention""}, ""12_36m"": {""risk"": ""moat erosion"", ""indicator"": ""share/CSAT"", ""control"": ""won't-do discipline""}}",Overbuild→ship small→small batches de-risk; No consent→pause→PDPA compliance first,Evidence over ego.,PR-FAQ|new product framing; TDD & feature flags|change safely; Cohort analysis|growth diagnostics,PDPA least-data; BM/EN parity; Safety-first; Composite ≥98,Wikipedia — Marty Cagan (https://en.wikipedia.org/wiki/Marty_Cagan); YouTube interviews — Marty Cagan (https://www.youtube.com/results?search_query=Marty+Cagan+interview); Google Scholar — Marty Cagan (https://scholar.google.com/scholar?q=Marty+Cagan),FALSE,TRUE,12,2025-10-12 11:45:34 +08+0800,3,3.5,FALSE,90,,,FALSE,,FALSE,FALSE,1026
